"","Basal.like","HER2.enriched","Luminal.A","Luminal.B","Contrib.Basal.like","Contrib.HER2.enriched","Contrib.Luminal.A","Contrib.Luminal.B","Contrib","GroupContrib","color","importance"
"RACGAP1",0.440140732284548,0.825569954678372,-0.799887134524679,0.596405926232771,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.243288463449927
"CDKN3",0.514189097254871,0.763279619657994,-0.682856081945188,0.674774220198745,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.242876659855421
"MCM8",0.594353646781293,0.597879823560731,-0.70398485057773,0.440330220411695,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.231521857504581
"SPAG5",0.691013988589633,0.448522815837128,-0.691052146499503,0.474660731049077,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.207753585309816
"CDC45",1.14472937849668,0.706702081868849,-0.790539319147328,0.440466954192893,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.193370407540019
"PKMYT1",0.567333423705362,0.922318319402278,-0.594099831572322,0.484386457978161,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.186257348498199
"CCNB1",0.479555213348552,0.522049439670872,-0.604291777562117,0.599711301570285,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",-0.175078216029708
"NUSAP1",0.686063661106783,0.670748729830175,-0.638594305734561,0.456284009932752,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.160530040088258
"UBE2T",0.514532176702784,0.638860459055957,-0.553454931170141,0.679526914047572,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",-0.158817432806326
"DTL",0.297090014192983,0.307256095778792,-0.485527899945603,0.71634149813634,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",-0.157787674977252
"SHCBP1",0.819511586699494,0.845572599597564,-0.786925562863725,0.311749064906765,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.155811091654034
"ZWINT",0.205676677429228,0.933529584706419,-0.584426807444039,0.609773374520837,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.145626143582928
"CDC6",0.618876709817193,0.217916678109917,-0.626873324835611,0.29823095172234,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.144267986563394
"H2AZ1",0.572285918492507,0.588971508213477,-0.617793835918181,0.455963528227597,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.142528983120773
"CENPM",0.669110158062936,0.739205752917379,-0.643476379211404,0.448809717091831,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.137319872083084
"DEPDC1B",0.937083385941314,0.501187314153713,-0.660255854403648,0.412449913292984,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.136661523255737
"POC1A",0.295259064085996,0.616374085351475,-0.472577652838345,0.658693664384046,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",-0.131998995154588
"BUB1B",0.778720107294787,0.618291998583148,-0.6326149297303,0.500531939498558,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.131054020318644
"E2F1",0.946123762201006,0.750922306877678,-0.770549787302017,0.349193714522842,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.130703327495302
"E2F8",0.761200025209639,0.410067502459299,-0.802784388927588,0.430342100007226,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.129010819502617
"RRM2",0.642139413221029,0.693173625822957,-0.737524836108789,0.421965014882385,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.128962466242727
"TIMELESS",0.133096814518457,0.285020834323877,-0.703292174637937,0.712436817205893,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",-0.128854290197056
"TEDC2",0.333649333172424,0.375834178315412,-0.491706332668641,0.563415011461109,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",-0.125806646153834
"EXO1",1.18273883539312,0.608443376146975,-0.776492740919442,0.34762496911084,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.125586949633907
"KPNA2",0.843328930761729,0.586806065500401,-0.74006784709885,0.340840531452854,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.122528550846868
"CENPU",0.41232895884149,0.649506504699319,-0.453709551446039,0.664372060341809,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",-0.117731934847456
"CCNE2",0.669849503967858,0.680864728291291,-0.636143019087709,0.381801389576133,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.115378325201734
"LRR1",0.459966854886767,0.558426544424234,-0.583573397228935,0.710089788173649,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",-0.114286547942824
