"","Basal.like","HER2.enriched","Luminal.A","Luminal.B","Contrib.Basal.like","Contrib.HER2.enriched","Contrib.Luminal.A","Contrib.Luminal.B","Contrib","GroupContrib","color","importance"
"MIR-1266/1266",-0.7276059945745,0.49095717657228,-0.17541600569749,0.240232477358156,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.37293273449959
"MIR-1266/3P",-0.7276059945745,0.49095717657228,-0.17541600569749,0.240232477358156,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.37293273449959
"MIR-1266/5P",-0.7276059945745,0.49095717657228,-0.17541600569749,0.240232477358156,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.37293273449959
"LET-7C/7C",0.814891858409015,-0.288576414604676,0.322223804466511,-0.282609199294912,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",0.315579531157108
"MIR-21/21*",-0.155199577325513,0.278881452705916,-0.0896506555269795,0.241989161897978,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.248355149427419
"MIR-3614/5P",0.182031754240345,0.636462986908322,-0.338744220597894,0.135004892675216,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.208929364064762
"MIR-3677/3P",0.350670958537266,0.362678452906364,-0.547197575950069,0.0769910439323824,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.195901380732406
"MIR-99/99A",0.364248296873326,-0.138822055067673,0.347946803303246,-0.649406471996756,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",0.160240566669111
"MIR-99-21/99A",0.364248296873326,-0.138822055067673,0.347946803303246,-0.649406471996756,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",0.160240566669111
"MIR-99A/99A",0.364248296873326,-0.138822055067673,0.347946803303246,-0.649406471996756,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",0.160240566669111
"MIR-99A/3P",0.364248296873326,-0.138822055067673,0.347946803303246,-0.649406471996756,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",0.160240566669111
"MIR-99A/5P",0.364248296873326,-0.138822055067673,0.347946803303246,-0.649406471996756,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",0.160240566669111
"MIR-181C/181C*",0.397995980997243,-0.505839810413828,0.263689740035998,-0.398363652658845,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",0.139358424137593
"MIR-181C/181C",0.397995980997243,-0.505839810413828,0.263689740035998,-0.398363652658845,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",0.139358424137593
"MIR-181C/3P",0.397995980997243,-0.505839810413828,0.263689740035998,-0.398363652658845,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",0.139358424137593
"MIR-181C/5P",0.397995980997243,-0.505839810413828,0.263689740035998,-0.398363652658845,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",0.139358424137593
"MIR-191/191*",-0.0966843127451783,0.51475002871691,-0.353060799329154,0.329714757662623,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.125002308374857
"MIR-425/425*",-0.157102029453244,0.412517663547774,-0.0885435583720442,0.355518050818477,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.10798067962556
