"","Specificity","Sensitivity","Outcome","Dataset"
"miRNA.X..0.39963..Inf.",100,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.4531..0.39963.",96.551724137931,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.46196..0.4531.",93.1034482758621,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.47924..0.46196.",89.6551724137931,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.49639..0.47924.",86.2068965517241,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.49997..0.49639.",82.7586206896552,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.50431..0.49997.",79.3103448275862,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.51215..0.50431.",75.8620689655172,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.52527..0.51215.",72.4137931034483,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.53827..0.52527.",68.9655172413793,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.54637..0.53827.",65.5172413793103,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.55169..0.54637.",62.0689655172414,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.55779..0.55169.",58.6206896551724,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.57345..0.55779.",55.1724137931035,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.58937..0.57345.",51.7241379310345,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.60029..0.58937.",48.2758620689655,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.60978..0.60029.",44.8275862068965,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.61398..0.60978.",41.3793103448276,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.62467..0.61398.",37.9310344827586,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.63679..0.62467.",34.4827586206897,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.64463..0.63679.",31.0344827586207,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.66333..0.64463.",27.5862068965517,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.67783..0.66333.",24.1379310344828,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.69157..0.67783.",20.6896551724138,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.71554..0.69157.",17.2413793103448,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.73431..0.71554.",13.7931034482759,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.74169..0.73431.",10.3448275862069,99.3377483443709,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.74882..0.74169.",10.3448275862069,100,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.77246..0.74882.",6.89655172413791,98.6754966887417,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.80058..0.77246.",6.89655172413791,99.3377483443709,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.82443..0.80058.",3.448275862069,77.4834437086093,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.86182..0.82443.",3.448275862069,78.1456953642384,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.88908..0.86182.",3.448275862069,78.8079470198675,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.89513..0.88908.",3.448275862069,79.4701986754967,"Basal-like vs Other(s): 0.9916","miRNA"
"miRNA.X..0.90648..0.89513.",3.448275862069,80.1324503311258,"Basal-like vs Other(s): 0.9916","miRNA"
